1_tensor(0.7979, device='cuda:1')
2_tensor(0.8136, device='cuda:1')
3_tensor(0.8302, device='cuda:1')
4_tensor(0.8677, device='cuda:1')
5_tensor(0.8550, device='cuda:1')
6_tensor(0.8814, device='cuda:1')
7_tensor(0.8771, device='cuda:1')
8_tensor(0.8889, device='cuda:1')
9_tensor(0.8833, device='cuda:1')
10_tensor(0.8667, device='cuda:1')
11_tensor(0.8889, device='cuda:1')
12_tensor(0.8875, device='cuda:1')
13_tensor(0.8918, device='cuda:1')
14_tensor(0.8895, device='cuda:1')
15_tensor(0.8898, device='cuda:1')
16_tensor(0.8921, device='cuda:1')
17_tensor(0.8937, device='cuda:1')
18_tensor(0.8947, device='cuda:1')
19_tensor(0.8990, device='cuda:1')
20_tensor(0.8879, device='cuda:1')
21_tensor(0.8934, device='cuda:1')
22_tensor(0.8977, device='cuda:1')
23_tensor(0.8960, device='cuda:1')
24_tensor(0.8924, device='cuda:1')
25_tensor(0.8937, device='cuda:1')
26_tensor(0.9003, device='cuda:1')
27_tensor(0.9006, device='cuda:1')
28_tensor(0.9012, device='cuda:1')
29_tensor(0.9019, device='cuda:1')
30_tensor(0.8908, device='cuda:1')
31_tensor(0.8993, device='cuda:1')
32_tensor(0.8983, device='cuda:1')
33_tensor(0.9009, device='cuda:1')
34_tensor(0.8999, device='cuda:1')
35_tensor(0.9012, device='cuda:1')
36_tensor(0.8970, device='cuda:1')
37_tensor(0.9019, device='cuda:1')
38_tensor(0.8970, device='cuda:1')
39_tensor(0.8993, device='cuda:1')
40_tensor(0.9012, device='cuda:1')
41_tensor(0.9022, device='cuda:1')
42_tensor(0.9019, device='cuda:1')
43_tensor(0.8954, device='cuda:1')
44_tensor(0.9012, device='cuda:1')
45_tensor(0.8963, device='cuda:1')
46_tensor(0.8993, device='cuda:1')
47_tensor(0.9016, device='cuda:1')
48_tensor(0.8993, device='cuda:1')
49_tensor(0.9006, device='cuda:1')
50_tensor(0.8996, device='cuda:1')
51_tensor(0.8973, device='cuda:1')
52_tensor(0.8977, device='cuda:1')
53_tensor(0.8993, device='cuda:1')
54_tensor(0.8999, device='cuda:1')
55_tensor(0.8996, device='cuda:1')
56_tensor(0.9009, device='cuda:1')
57_tensor(0.8986, device='cuda:1')
58_tensor(0.8980, device='cuda:1')
59_tensor(0.8996, device='cuda:1')
60_tensor(0.9016, device='cuda:1')
